Customer_Key,Membership_Type,Baseline_HSIC_SoW,Recent_HSIC_SoW,SoW_Change_pp,SoW_Decline_pp,Recent_Total_Net_Sales,Recent_HSIC_Net_Sales,Recent_Non_HSIC_Net_Sales,Recent_Transaction_Count,Recent_HSIC_Transaction_Rows,HSIC_Recency_Days,Primary_Leakage_Method,Primary_Leakage_Spend,Top_Category,Top_Category_Spend,Silent_Attrition_Flag,HSIC_Dormant_Flag,High_Value_Low_SoW_Flag,Recoverable_Wallet,Opportunity_Score,Opportunity_Tier,Business_Segment,Strategic_Priority,Campaign_Segment,Recommended_Strategy
HSIC-03551,Prime,0.0,78.08289131865737,78.08289131865737,-78.08289131865737,12806.89,9999.99,2806.9,18.0,1.0,147.0,Cash/UPI,2806.9,Large Appliances,9999.99,0,0,0,2806.9,39.24429428394125,Medium,Active HSIC Growers,Grow,Growing HSIC Users,Reinforce increasing HSIC usage with spend milestones and category-specific reward reminders.
HSIC-03552,Prime,0.0,0.0,0.0,0.0,294.51,0.0,294.51,4.0,0.0,999.0,Debit Card,294.51,Grocery,294.51,0,0,0,294.51,20.28718196235262,Low,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03553,Prime,0.0,7.293029132955824,7.293029132955824,-7.293029132955824,11491.11,838.05,10653.06,36.0,1.0,179.0,MetroMart Wallet,8344.789999999999,Apparel,10653.06,0,0,1,10653.06,60.04930014479763,High,Active HSIC Growers,Grow,High-Value Low-SoW,Conversion campaign focused on moving a portion of large MetroMart spend onto HSIC using spend-threshold incentives.
HSIC-03554,Prime,0.0,0.0,0.0,0.0,12136.32,0.0,12136.32,15.0,0.0,999.0,Debit Card,8438.76,Electronics,8987.06,0,0,1,12136.32,67.3526166999931,Critical,Wallet Migrators,Win Back,High-Value Low-SoW,Conversion campaign focused on moving a portion of large MetroMart spend onto HSIC using spend-threshold incentives.
HSIC-03555,Prime,11.50198716593482,15.847127790961322,4.345140625026502,-4.345140625026502,19683.63,3119.29,16564.34,55.0,1.0,63.0,MetroMart Wallet,11911.86,Furniture,9999.99,0,0,1,16564.34,67.07577742536026,Critical,Active HSIC Growers,Grow,High-Value Low-SoW,Conversion campaign focused on moving a portion of large MetroMart spend onto HSIC using spend-threshold incentives.
HSIC-03556,Prime,47.94492838231604,0.0,-47.94492838231604,47.94492838231604,10074.9,0.0,10074.9,14.0,0.0,357.0,MetroMart Wallet,10074.9,Electronics,9999.99,1,1,0,10074.9,76.5114114321175,Critical,Wallet Migrators,Win Back,Dormant Reactivation,"Low-cost reactivation journey with reward reminders, saved-card prompts, and a limited first-use-back incentive."
HSIC-03557,Non-Prime,0.0,0.0,0.0,0.0,10310.75,0.0,10310.75,27.0,0.0,999.0,Cash/UPI,9799.66,Large Appliances,9095.65,0,0,0,10310.75,63.24450113769565,High,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03558,Prime,0.0,0.0,0.0,0.0,7585.449999999999,0.0,7585.449999999999,30.0,0.0,999.0,MetroMart Wallet,4899.179999999999,Furniture,4156.03,0,0,0,7585.449999999999,55.11721712749087,High,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03559,Prime,33.70797327899883,11.903150307574409,-21.80482297142442,21.80482297142442,12070.25,1436.74,10633.51,60.0,1.0,144.0,Debit Card,9207.45,Travel,5951.01,1,0,1,10633.51,72.39605598841618,Critical,Active HSIC Growers,Grow,High-Value Silent Decliners,"Targeted win-back campaign using recent spend behavior, category preference, and a time-bound HSIC spend milestone."
HSIC-03560,Non-Prime,0.0,100.0,100.0,-100.0,4637.76,4637.76,0.0,10.0,2.0,42.0,,,Bill Payments,2530.7,0,0,0,0.0,17.258498241743087,Low,HSIC-First Adopters,Protect,HSIC Champions,"Protect relationship with recognition, personalized reward reminders, and early access to MetroMart offers."
HSIC-03561,Prime,0.0,0.0,0.0,0.0,1294.55,0.0,1294.55,7.0,0.0,999.0,Cash/UPI,1294.55,Apparel,1294.55,0,0,0,1294.55,27.083362063021443,Low,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03562,Prime,0.0,70.34938708701763,70.34938708701763,-70.34938708701763,14051.75,9885.32,4166.43,27.0,1.0,116.0,MetroMart Wallet,4166.43,Electronics,9885.32,0,0,0,4166.43,44.06571054264635,Medium,Active HSIC Growers,Grow,Growing HSIC Users,Reinforce increasing HSIC usage with spend milestones and category-specific reward reminders.
HSIC-03563,Prime,0.0,81.44839039490259,81.44839039490259,-81.44839039490259,17703.1,14418.89,3284.21,138.0,3.0,3.0,Cash/UPI,1979.79,Large Appliances,9663.99,0,0,0,3284.21,39.852789078121766,Medium,Active HSIC Growers,Grow,Growing HSIC Users,Reinforce increasing HSIC usage with spend milestones and category-specific reward reminders.
HSIC-03564,Non-Prime,20.27730774677601,0.0,-20.27730774677601,20.27730774677601,18078.26,0.0,18078.26,147.0,0.0,312.0,Debit Card,6772.11,Electronics,14944.72,1,1,1,18078.26,84.36220092394676,Critical,Wallet Migrators,Win Back,High-Value Dormant,High-priority personalized win-back campaign with a limited-time HSIC reactivation incentive.
HSIC-03565,Non-Prime,45.79353042989521,59.268081303964,13.474550874068782,-13.474550874068782,7430.88,4404.139999999999,3026.74,56.0,2.0,107.0,MetroMart Wallet,3026.74,Apparel,5558.41,0,0,0,3026.74,35.575053437219886,Medium,Active HSIC Growers,Grow,Growing HSIC Users,Reinforce increasing HSIC usage with spend milestones and category-specific reward reminders.
HSIC-03566,Prime,0.0,0.0,0.0,0.0,1352.58,0.0,1352.58,8.0,0.0,999.0,Other Bank Credit Card,1352.58,Apparel,1352.58,0,0,0,1352.58,27.43087637040612,Low,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03567,Prime,0.0,0.0,0.0,0.0,4956.83,0.0,4956.83,18.0,0.0,999.0,MetroMart Wallet,4265.25,Outdoor,3436.56,0,0,0,4956.83,45.76329035371992,Medium,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03568,Non-Prime,100.0,67.6617235217421,-32.338276478257896,32.338276478257896,14779.39,9999.99,4779.4,18.0,1.0,94.0,Cash/UPI,4779.4,Large Appliances,9999.99,1,0,0,4779.4,59.85382334689374,High,Active HSIC Growers,Grow,Growing HSIC Users,Reinforce increasing HSIC usage with spend milestones and category-specific reward reminders.
HSIC-03569,Non-Prime,0.0,0.0,0.0,0.0,9981.48,0.0,9981.48,14.0,0.0,999.0,Debit Card,8718.72,Furniture,8718.72,0,0,0,9981.48,61.75722264359098,High,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03570,Non-Prime,0.0,0.0,0.0,0.0,1091.32,0.0,1091.32,9.0,0.0,999.0,Debit Card,1091.32,Beauty,1091.32,0,0,0,1091.32,25.492656691718956,Low,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03571,Prime,0.0,0.0,0.0,0.0,6054.55,0.0,6054.55,4.0,0.0,999.0,MetroMart Wallet,6054.55,Electronics,6054.55,0,0,0,6054.55,49.85485761566573,Medium,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03572,Non-Prime,41.9372065629495,4.4366896644176705,-37.50051689853183,37.50051689853183,26257.64,1164.97,25092.67,70.0,1.0,5.0,Cash/UPI,12579.15,Electronics,13744.12,1,0,1,25092.67,83.71371440391643,Critical,Active HSIC Growers,Grow,High-Value Silent Decliners,"Targeted win-back campaign using recent spend behavior, category preference, and a time-bound HSIC spend milestone."
HSIC-03573,Prime,100.0,0.0,-100.0,100.0,6903.37,0.0,6903.37,40.0,0.0,331.0,Other Bank Credit Card,2884.3,Electronics,3802.14,1,1,0,6903.37,70.26442804936909,Critical,Wallet Migrators,Win Back,Dormant Reactivation,"Low-cost reactivation journey with reward reminders, saved-card prompts, and a limited first-use-back incentive."
HSIC-03574,Prime,8.190080387424993,55.378417154463946,47.188336767038955,-47.188336767038955,5666.63,3138.09,2528.54,36.0,1.0,93.0,MetroMart Wallet,1953.13,Outdoor,3138.09,0,0,0,2528.54,31.76618630628146,Low,Active HSIC Growers,Grow,Growing HSIC Users,Reinforce increasing HSIC usage with spend milestones and category-specific reward reminders.
HSIC-03575,Non-Prime,100.0,0.0,-100.0,100.0,777.56,0.0,777.56,4.0,0.0,228.0,MetroMart Wallet,777.56,Grocery,777.56,1,1,0,777.56,38.950561952699445,Medium,Wallet Migrators,Win Back,Dormant Reactivation,"Low-cost reactivation journey with reward reminders, saved-card prompts, and a limited first-use-back incentive."
HSIC-03576,Prime,0.0,0.0,0.0,0.0,9710.36,0.0,9710.36,33.0,0.0,999.0,Cash/UPI,8864.54,Large Appliances,8023.54,0,0,0,9710.36,61.07770806040129,High,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03577,Non-Prime,23.522384427551003,0.0,-23.522384427551003,23.522384427551003,10475.65,0.0,10475.65,30.0,0.0,298.0,Other Bank Credit Card,8306.949999999999,Large Appliances,7497.11,1,1,0,10475.65,73.90677790801904,Critical,Wallet Migrators,Win Back,Dormant Reactivation,"Low-cost reactivation journey with reward reminders, saved-card prompts, and a limited first-use-back incentive."
HSIC-03578,Prime,0.0,0.0,0.0,0.0,8922.97,0.0,8922.97,18.0,0.0,999.0,MetroMart Wallet,7895.61,Electronics,7895.61,0,0,0,8922.97,59.0836378680273,High,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03579,Prime,0.0,46.70236449557479,46.70236449557479,-46.70236449557479,19220.59,8976.47,10244.12,66.0,1.0,99.0,Cash/UPI,3578.19,Large Appliances,8976.47,0,0,0,10244.12,60.52023719230504,High,Active HSIC Growers,Grow,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03580,Prime,23.259504210659827,41.72626887849004,18.466764667830212,-18.466764667830212,18076.79,7542.77,10534.02,119.0,3.0,43.0,Cash/UPI,5837.95,Electronics,8896.14,0,0,0,10534.02,59.70316486244225,High,Active HSIC Growers,Grow,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03581,Prime,17.164556054026104,0.0,-17.164556054026104,17.164556054026104,18757.5,0.0,18757.5,66.0,0.0,330.0,Other Bank Credit Card,10699.58,Furniture,14793.45,0,1,1,18757.5,84.63145556091844,Critical,Wallet Migrators,Win Back,High-Value Dormant,High-priority personalized win-back campaign with a limited-time HSIC reactivation incentive.
HSIC-03582,Prime,0.0,37.65329921335648,37.65329921335648,-37.65329921335648,25760.08,9699.52,16060.56,108.0,2.0,168.0,Cash/UPI,6856.51,Furniture,15504.77,0,0,0,16060.56,69.36978556160794,Critical,Active HSIC Growers,Grow,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03583,Non-Prime,0.0,0.0,0.0,0.0,3665.37,0.0,3665.37,3.0,0.0,999.0,MetroMart Wallet,3665.37,Electronics,3665.37,0,0,0,3665.37,40.18341032889747,Medium,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03584,Prime,0.0,100.0,100.0,-100.0,7333.76,7333.76,0.0,20.0,2.0,135.0,,,Travel,3822.13,0,0,0,0.0,21.653451010135832,Low,HSIC-First Adopters,Protect,HSIC Champions,"Protect relationship with recognition, personalized reward reminders, and early access to MetroMart offers."
HSIC-03585,Prime,0.0,0.0,0.0,0.0,3306.6,0.0,3306.6,21.0,0.0,999.0,Cash/UPI,3347.33,Electronics,3347.33,0,0,0,3306.6,38.50479211197683,Medium,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03586,Prime,0.0,0.0,0.0,0.0,377.09,0.0,377.09,5.0,0.0,999.0,Other Bank Credit Card,377.09,Grocery,377.09,0,0,0,377.09,20.58505136868234,Low,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03587,Prime,0.0,0.0,0.0,0.0,4203.88,0.0,4203.88,7.0,0.0,999.0,Other Bank Credit Card,4203.88,Electronics,4203.88,0,0,0,4203.88,42.56946838585121,Medium,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03588,Non-Prime,21.500623890977923,0.0,-21.500623890977923,21.500623890977923,619.1,0.0,619.1,13.0,0.0,325.0,Other Bank Credit Card,619.1,Grocery,619.1,1,1,0,619.1,32.31641729297387,Low,Wallet Migrators,Win Back,Dormant Reactivation,"Low-cost reactivation journey with reward reminders, saved-card prompts, and a limited first-use-back incentive."
HSIC-03589,Non-Prime,19.922582321775874,2.9472060726473934,-16.97537624912848,16.97537624912848,27828.39,820.16,27008.230000000003,84.0,1.0,85.0,Cash/UPI,21997.1,Furniture,13771.55,0,0,1,27008.230000000003,82.8338964352203,Critical,Active HSIC Growers,Grow,High-Value Low-SoW,Conversion campaign focused on moving a portion of large MetroMart spend onto HSIC using spend-threshold incentives.
HSIC-03590,Prime,0.0,100.0,100.0,-100.0,3935.25,3935.25,0.0,11.0,1.0,162.0,,,Outdoor,3935.25,0,0,0,0.0,18.805764324622498,Low,HSIC-First Adopters,Protect,HSIC Champions,"Protect relationship with recognition, personalized reward reminders, and early access to MetroMart offers."
HSIC-03591,Prime,41.98268313585215,0.0,-41.98268313585215,41.98268313585215,1331.66,0.0,1331.66,6.0,0.0,182.0,Cash/UPI,1331.66,Bill Payments,1331.66,1,1,0,1331.66,37.88250706750328,Medium,Wallet Migrators,Win Back,Dormant Reactivation,"Low-cost reactivation journey with reward reminders, saved-card prompts, and a limited first-use-back incentive."
HSIC-03592,Non-Prime,100.0,0.0,-100.0,100.0,656.02,0.0,656.02,3.0,0.0,278.0,Cash/UPI,656.02,Grocery,656.02,1,1,0,656.02,38.88195545749155,Medium,Wallet Migrators,Win Back,Dormant Reactivation,"Low-cost reactivation journey with reward reminders, saved-card prompts, and a limited first-use-back incentive."
HSIC-03593,Non-Prime,0.0,0.0,0.0,0.0,5661.71,0.0,5661.71,9.0,0.0,999.0,MetroMart Wallet,5661.71,Electronics,5661.71,0,0,0,5661.71,48.43377232296766,Medium,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03594,Non-Prime,0.0,0.0,0.0,0.0,3100.96,0.0,3100.96,10.0,0.0,999.0,Debit Card,2269.35,Apparel,2269.35,0,0,0,3100.96,37.42294697648762,Medium,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03595,Prime,0.0,0.0,0.0,0.0,16752.54,0.0,16752.54,24.0,0.0,999.0,Cash/UPI,10581.51,Large Appliances,6744.92,0,0,1,16752.54,73.45066537957663,Critical,Wallet Migrators,Win Back,High-Value Low-SoW,Conversion campaign focused on moving a portion of large MetroMart spend onto HSIC using spend-threshold incentives.
HSIC-03596,Prime,26.833763865377215,12.370294937514211,-14.463468927863008,14.463468927863008,26169.949999999997,3237.3,22932.65,75.0,1.0,168.0,Debit Card,8308.74,Large Appliances,14566.35,1,0,1,22932.65,83.52789078121768,Critical,Active HSIC Growers,Grow,High-Value Silent Decliners,"Targeted win-back campaign using recent spend behavior, category preference, and a time-bound HSIC spend milestone."
HSIC-03597,Non-Prime,27.65959697946203,17.865449692260622,-9.794147287201408,9.794147287201408,7485.23,1337.27,6147.96,48.0,1.0,71.0,MetroMart Wallet,5290.33,Outdoor,3545.05,0,0,0,6147.96,55.549196717920424,High,Active HSIC Growers,Grow,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03598,Prime,0.0,0.0,0.0,0.0,2565.65,0.0,2565.65,11.0,0.0,999.0,Other Bank Credit Card,2565.65,Apparel,2565.65,0,0,0,2565.65,34.85278907812177,Low,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03599,Prime,0.0,0.0,0.0,0.0,2258.17,0.0,2258.17,7.0,0.0,999.0,Debit Card,2258.17,Furniture,2258.17,0,0,0,2258.17,33.125560228918154,Low,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03600,Non-Prime,0.0,0.0,0.0,0.0,3423.22,0.0,3423.22,2.0,0.0,999.0,Cash/UPI,3822.29,Furniture,3822.29,0,0,0,3423.22,39.06226298007309,Medium,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03601,Non-Prime,0.0,0.0,0.0,0.0,2749.32,0.0,2749.32,20.0,0.0,999.0,MetroMart Wallet,2469.65,Apparel,2469.65,0,0,0,2749.32,35.85809832448459,Medium,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03602,Non-Prime,57.4273054082956,61.131424853196705,3.704119444901103,-3.704119444901103,15706.39,9601.54,6104.85,96.0,2.0,37.0,Cash/UPI,3198.26,Electronics,10698.46,0,0,0,6104.85,48.758532717368816,Medium,Active HSIC Growers,Grow,Growing HSIC Users,Reinforce increasing HSIC usage with spend milestones and category-specific reward reminders.
HSIC-03603,Non-Prime,55.87088764742396,21.65484012124146,-34.21604752618251,34.21604752618251,6238.79,1351.0,4887.79,33.0,2.0,121.0,Cash/UPI,4887.79,Large Appliances,4887.79,1,0,0,4887.79,55.38922981452112,High,Active HSIC Growers,Grow,Silent Decliners,Personalized win-back communication based on the customer's dominant MetroMart category and alternative payment behavior.
HSIC-03604,Non-Prime,100.0,22.94311383737655,-77.05688616262344,77.05688616262344,12451.71,2856.81,9594.9,36.0,1.0,36.0,MetroMart Wallet,8365.81,Furniture,8365.81,1,0,0,9594.9,73.42722195407848,Critical,Active HSIC Growers,Grow,Silent Decliners,Personalized win-back communication based on the customer's dominant MetroMart category and alternative payment behavior.
HSIC-03605,Non-Prime,14.277030139873624,23.424968204116595,9.14793806424297,-9.14793806424297,6164.32,1443.99,4720.33,64.0,1.0,155.0,MetroMart Wallet,4071.08,Apparel,2602.12,0,0,0,4720.33,41.04323243466869,Medium,Active HSIC Growers,Grow,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03606,Non-Prime,0.0,52.30026638303352,52.30026638303352,-52.30026638303352,8386.42,4386.12,4000.3,48.0,1.0,14.0,Other Bank Credit Card,3299.77,Electronics,4386.12,0,0,0,4000.3,37.96731710680549,Medium,Active HSIC Growers,Grow,Growing HSIC Users,Reinforce increasing HSIC usage with spend milestones and category-specific reward reminders.
HSIC-03607,Non-Prime,6.561389189249171,0.0,-6.561389189249171,6.561389189249171,1058.5,0.0,1058.5,10.0,0.0,297.0,MetroMart Wallet,1058.5,Grocery,1058.5,0,1,0,1058.5,32.83768875405088,Low,Wallet Migrators,Win Back,Dormant Reactivation,"Low-cost reactivation journey with reward reminders, saved-card prompts, and a limited first-use-back incentive."
HSIC-03608,Non-Prime,0.0,0.0,0.0,0.0,3876.0,0.0,3876.0,10.0,0.0,999.0,MetroMart Wallet,4883.13,Electronics,4883.13,0,0,0,3876.0,41.10701234227401,Medium,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03609,Prime,62.94188167839459,0.0,-62.94188167839459,62.94188167839459,1903.54,0.0,1903.54,13.0,0.0,293.0,Other Bank Credit Card,1903.54,Furniture,1903.54,1,1,0,1903.54,45.27614976211819,Medium,Wallet Migrators,Win Back,Dormant Reactivation,"Low-cost reactivation journey with reward reminders, saved-card prompts, and a limited first-use-back incentive."
HSIC-03610,Non-Prime,0.0,0.0,0.0,0.0,16527.89,0.0,16527.89,14.0,0.0,999.0,MetroMart Wallet,9999.99,Electronics,16527.89,0,0,1,16527.89,73.2396745500931,Critical,Wallet Migrators,Win Back,High-Value Low-SoW,Conversion campaign focused on moving a portion of large MetroMart spend onto HSIC using spend-threshold incentives.
HSIC-03611,Prime,0.0,0.0,0.0,0.0,6568.09,0.0,6568.09,14.0,0.0,999.0,Other Bank Credit Card,6568.09,Furniture,4438.85,0,0,0,6568.09,51.68551334206716,High,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03612,Prime,0.0,64.90266337531939,64.90266337531939,-64.90266337531939,12003.19,7790.389999999999,4212.8,36.0,2.0,104.0,MetroMart Wallet,4861.46,Furniture,7416.48,0,0,0,4212.8,42.945252706336625,Medium,Active HSIC Growers,Grow,Growing HSIC Users,Reinforce increasing HSIC usage with spend milestones and category-specific reward reminders.
HSIC-03613,Non-Prime,0.0,53.369734894816155,53.369734894816155,-53.369734894816155,1479.79,789.76,690.03,12.0,1.0,82.0,MetroMart Wallet,690.03,Bill Payments,789.76,0,0,0,690.03,17.338826449700058,Low,Active HSIC Growers,Grow,Growing HSIC Users,Reinforce increasing HSIC usage with spend milestones and category-specific reward reminders.
HSIC-03614,Prime,0.0,0.0,0.0,0.0,11187.88,0.0,11187.88,36.0,0.0,999.0,MetroMart Wallet,10255.42,Electronics,10255.42,0,0,0,11187.88,65.45369923464112,Critical,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03615,Prime,12.7338506212215,0.0,-12.7338506212215,12.7338506212215,12920.02,0.0,12920.02,85.0,0.0,305.0,Cash/UPI,7821.59,Large Appliances,7821.59,0,1,1,12920.02,77.36950975660208,Critical,Wallet Migrators,Win Back,High-Value Dormant,"High-priority reactivation campaign highlighting HSIC rewards versus non-reward payment methods, combined with a limited spend milestone."
HSIC-03616,Prime,6.044896545595433,0.0,-6.044896545595433,6.044896545595433,11039.17,0.0,11039.17,36.0,0.0,241.0,Cash/UPI,6784.28,Travel,4642.04,0,1,0,11039.17,71.76067020616424,Critical,Wallet Migrators,Win Back,Dormant Reactivation,"Low-cost reactivation journey with reward reminders, saved-card prompts, and a limited first-use-back incentive."
HSIC-03617,Prime,0.0,0.0,0.0,0.0,5327.870000000001,0.0,5327.870000000001,80.0,0.0,999.0,Other Bank Credit Card,2059.71,Grocery,3951.37,0,0,0,5327.870000000001,47.17196442115424,Medium,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03618,Prime,50.815815734182266,0.0,-50.815815734182266,50.815815734182266,756.46,0.0,756.46,10.0,0.0,292.0,Debit Card,756.46,Grocery,756.46,1,1,0,756.46,36.14424601806523,Medium,Wallet Migrators,Win Back,Dormant Reactivation,"Low-cost reactivation journey with reward reminders, saved-card prompts, and a limited first-use-back incentive."
HSIC-03619,Prime,100.0,41.46944991583115,-58.53055008416885,58.53055008416885,8102.76,3360.17,4742.59,12.0,1.0,84.0,Cash/UPI,4742.59,Electronics,8102.76,1,0,0,4742.59,58.20140660552989,High,Active HSIC Growers,Grow,Silent Decliners,Highlight existing 3% Prime Electronics cashback with a targeted HSIC payment reminder.
HSIC-03620,Prime,63.1526188399274,86.14533756136304,22.992718721435637,-22.992718721435637,1737.6099999999997,1496.87,240.73999999999975,64.0,1.0,24.0,Debit Card,6128.84,Travel,3247.31,0,0,0,240.73999999999975,14.664207405364408,Low,Active HSIC Growers,Grow,Growing HSIC Users,Reinforce increasing HSIC usage with spend milestones and category-specific reward reminders.
HSIC-03621,Non-Prime,71.90638367843182,0.0,-71.90638367843182,71.90638367843182,2276.11,0.0,2276.11,12.0,0.0,251.0,MetroMart Wallet,2276.11,Grocery,2889.55,1,1,0,2276.11,47.50017237812866,Medium,Wallet Migrators,Win Back,Dormant Reactivation,"Low-cost reactivation journey with reward reminders, saved-card prompts, and a limited first-use-back incentive."
HSIC-03622,Prime,0.0,0.0,0.0,0.0,3452.7299999999996,0.0,3452.7299999999996,10.0,0.0,999.0,Cash/UPI,2522.2,Travel,2522.2,0,0,0,3452.7299999999996,39.17913535130663,Medium,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03623,Prime,0.0,0.0,0.0,0.0,2452.91,0.0,2452.91,6.0,0.0,999.0,Other Bank Credit Card,2452.91,Apparel,2452.91,0,0,0,2452.91,34.26222160932221,Low,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03624,Non-Prime,0.0,0.0,0.0,0.0,5807.6,0.0,5807.6,132.0,0.0,999.0,Other Bank Credit Card,3994.47,Furniture,3994.47,0,0,0,5807.6,49.02433979176722,Medium,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03625,Prime,72.80655372151946,24.989927339632644,-47.81662638188682,47.81662638188682,8016.75,2003.38,6013.37,36.0,1.0,170.0,Debit Card,4505.69,Outdoor,5637.63,1,0,0,6013.37,62.37468110046197,High,Active HSIC Growers,Grow,Silent Decliners,Personalized win-back communication based on the customer's dominant MetroMart category and alternative payment behavior.
HSIC-03626,Non-Prime,0.0,0.0,0.0,0.0,964.42,0.0,964.42,4.0,0.0,999.0,Debit Card,964.42,Grocery,964.42,0,0,0,964.42,24.610425429221543,Low,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03627,Non-Prime,0.0,0.0,0.0,0.0,2178.94,0.0,2178.94,8.0,0.0,999.0,Debit Card,2178.94,Electronics,2178.94,0,0,0,2178.94,32.705647107495004,Low,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03628,Prime,20.163596514751845,48.188368289198536,28.02477177444669,-28.02477177444669,5795.88,2792.94,3002.94,75.0,2.0,54.0,Cash/UPI,1224.24,Kids And Toys,1880.27,0,0,0,3002.94,32.918016962007854,Low,Active HSIC Growers,Grow,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03629,Non-Prime,26.03838144512165,24.181792153469193,-1.8565892916524585,1.8565892916524585,26474.629999999997,6402.04,20072.59,140.0,1.0,57.0,MetroMart Wallet,14770.27,Large Appliances,9999.99,0,0,0,20072.59,79.03537199200164,Critical,Active HSIC Growers,Grow,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-03630,Prime,12.500995357307309,0.0,-12.500995357307309,12.500995357307309,18372.84,0.0,18372.84,65.0,0.0,216.0,Cash/UPI,14814.19,Furniture,9829.89,0,1,1,18372.84,81.86754464593533,Critical,Wallet Migrators,Win Back,High-Value Dormant,"High-priority reactivation campaign highlighting HSIC rewards versus non-reward payment methods, combined with a limited spend milestone."
HSIC-03631,Non-Prime,17.637178120060774,0.0,-17.637178120060774,17.637178120060774,10924.8,0.0,10924.8,24.0,0.0,233.0,Other Bank Credit Card,13787.11,Large Appliances,7123.22,0,1,0,10924.8,73.13348962283666,Critical,Wallet Migrators,Win Back,Dormant Reactivation,"Low-cost reactivation journey with reward reminders, saved-card prompts, and a limited first-use-back incentive."
HSIC-03632,Prime,100.0,100.0,0.0,0.0,9999.99,9999.99,0.0,2.0,1.0,122.0,,,Travel,9999.99,0,0,0,0.0,23.44963111080466,Low,HSIC-First Adopters,Protect,HSIC Champions,"Protect relationship with recognition, personalized reward reminders, and early access to MetroMart offers."
